Field,Type,Level,Example
@timestamp,date,core,2016-05-23T08:05:34.853Z
labels,object,core,"{'application': 'foo-bar', 'env': 'production'}"
message,text,core,Hello World
tags,keyword,core,"[""production"", ""env2""]"
agent.ephemeral_id,keyword,extended,8a4f500f
agent.id,keyword,core,8a4f500d
agent.name,keyword,core,foo
agent.type,keyword,core,filebeat
agent.version,keyword,core,6.0.0-rc2
client.bytes,long,core,184
client.domain,keyword,core,
client.ip,ip,core,
client.mac,keyword,core,
client.packets,long,core,12
client.port,long,core,
cloud.account.id,keyword,extended,666777888999
cloud.availability_zone,keyword,extended,us-east-1c
cloud.instance.id,keyword,extended,i-1234567890abcdef0
cloud.instance.name,keyword,extended,
cloud.machine.type,keyword,extended,t2.medium
cloud.provider,keyword,extended,ec2
cloud.region,keyword,extended,us-east-1
container.id,keyword,core,
container.image.name,keyword,extended,
container.image.tag,keyword,extended,
container.labels,object,extended,
container.name,keyword,extended,
container.runtime,keyword,extended,docker
destination.bytes,long,core,184
destination.domain,keyword,core,
destination.ip,ip,core,
destination.mac,keyword,core,
destination.packets,long,core,12
destination.port,long,core,
ecs.version,keyword,core,1.0.0-beta1
error.code,keyword,core,
error.id,keyword,core,
error.message,text,core,
event.action,keyword,core,user-password-change
event.category,keyword,core,user-management
event.created,date,core,
event.dataset,keyword,core,stats
event.duration,long,core,
event.end,date,extended,
event.hash,keyword,extended,123456789012345678901234567890ABCD
event.id,keyword,core,8a4f500d
event.kind,keyword,extended,state
event.module,keyword,core,mysql
event.original,keyword,core,Sep 19 08:26:10 host CEF:0&#124;Security&#124; threatmanager&#124;1.0&#124;100&#124; worm successfully stopped&#124;10&#124;src=10.0.0.1 dst=2.1.2.2spt=1232
event.outcome,keyword,extended,success
event.risk_score,float,core,
event.risk_score_norm,float,extended,
event.severity,long,core,7
event.start,date,extended,
event.type,keyword,core,
file.ctime,date,extended,
file.device,keyword,extended,
file.extension,keyword,extended,png
file.gid,keyword,extended,
file.group,keyword,extended,
file.inode,keyword,extended,
file.mode,keyword,extended,416
file.mtime,date,extended,
file.owner,keyword,extended,
file.path,keyword,extended,
file.size,long,extended,
file.target_path,keyword,extended,
file.type,keyword,extended,
file.uid,keyword,extended,
geo.city_name,keyword,core,Montreal
geo.continent_name,keyword,core,North America
geo.country_iso_code,keyword,core,CA
geo.country_name,keyword,core,Canada
geo.location,geo_point,core,"{ ""lon"": -73.614830, ""lat"": 45.505918 }"
geo.name,keyword,extended,boston-dc
geo.region_iso_code,keyword,core,CA-QC
geo.region_name,keyword,core,Quebec
group.id,keyword,extended,
group.name,keyword,extended,
host.architecture,keyword,core,x86_64
host.hostname,keyword,core,
host.id,keyword,core,
host.ip,ip,core,
host.mac,keyword,core,
host.name,keyword,core,
host.type,keyword,core,
http.request.method,keyword,extended,"GET, POST, PUT"
http.request.referrer,keyword,extended,https://blog.example.com/
http.response.body,keyword,extended,Hello world
http.response.status_code,long,extended,404
http.version,keyword,extended,1.1
log.level,keyword,core,ERR
log.original,keyword,core,Sep 19 08:26:10 localhost My log
network.application,keyword,extended,AIM
network.bytes,long,core,368
network.community_id,keyword,extended,1:hO+sN4H+MG5MY/8hIrXPqc4ZQz0=
network.direction,keyword,core,inbound
network.forwarded_ip,ip,core,192.1.1.2
network.iana_number,keyword,extended,6
network.name,keyword,extended,Guest Wifi
network.packets,long,core,24
network.protocol,keyword,core,http
network.transport,keyword,core,TCP
network.type,keyword,core,IPv4
observer.hostname,keyword,core,
observer.ip,ip,core,
observer.mac,keyword,core,
observer.serial_number,keyword,extended,
observer.type,keyword,core,firewall
